id,symptom,question,answer,recommend_supplement,recommend_action
220,체중증가,야식이 끊기지 않는데 식욕 억제에 효과적인 방법은?,L-카르니틴은 지방을 에너지로 전환하는 과정을 돕고 운동 시 지방 연소를 촉진합니다.,"크롬, L-카르니틴",유산소 운동
221,체중증가,붓기가 심한데 수분 배출에 도움되는 영양소가 있나요?,크롬은 인슐린 감수성을 개선하여 혈당 조절과 식욕 억제에 도움이 됩니다.,"크롬, 녹차추출물",고단백 저탄수화물
222,체중증가,살이 찌기 쉬운 체질인데 기초대사량을 높이려면?,CLA(공액리놀레산)는 체지방 감소와 근육량 유지에 효과적이며 기초대사량 향상에 도움이 됩니다.,"녹차추출물, 가르시니아캄보지아, CLA",충분한 수면
223,체중증가,폭식 충동이 있는데 혈당 조절에 도움되는 영양제는?,L-카르니틴은 지방을 에너지로 전환하는 과정을 돕고 운동 시 지방 연소를 촉진합니다.,"CLA, L-카르니틴, 크롬",충분한 수면
224,체중증가,체중 감량을 위해 식단 조절과 함께 먹으면 좋은 영양제는?,크롬은 인슐린 감수성을 개선하여 혈당 조절과 식욕 억제에 도움이 됩니다.,"가르시니아캄보지아, L-카르니틴","고단백 저탄수화물, 충분한 수면"
225,체중증가,다이어트 중인데 식욕 조절에 도움되는 영양제가 있나요?,CLA(공액리놀레산)는 체지방 감소와 근육량 유지에 효과적이며 기초대사량 향상에 도움이 됩니다.,"L-카르니틴, 가르시니아캄보지아, 녹차추출물",근력 운동
226,심장두근거림,가슴이 두근거리고 불안한데 심장 건강에 좋은 영양제가 있나요?,마그네슘과 칼륨은 심장 박동을 조절하는 전해질로 결핍 시 부정맥이 나타날 수 있습니다.,"마그네슘, 테아닌, 코큐텐","카페인 줄이기, 깊은 호흡"
227,심장두근거림,긴장하면 심장이 빨리 뛰는데 완화 방법 알려주세요.,테아닌은 긴장을 완화하고 자율신경계를 안정시켜 스트레스성 심계항진을 줄입니다.,"마그네슘, 칼륨, 테아닌","규칙적 운동, 카페인 줄이기"
228,심장두근거림,카페인 섭취 후 심장이 두근거리는데 관리 방법이 있나요?,코큐텐은 심장 근육의 에너지 생성을 돕고 심혈관 건강을 지원합니다.,"테아닌, 코큐텐, 마그네슘",스트레스 관리
229,심장두근거림,부정맥 증상이 있는데 전해질 보충이 필요한가요?,마그네슘과 칼륨은 심장 박동을 조절하는 전해질로 결핍 시 부정맥이 나타날 수 있습니다.,"호손베리, 마그네슘, 테아닌",규칙적 운동
230,심장두근거림,밤에 심장이 두근거려서 잠들기 힘든데 어떻게 해야 하나요?,테아닌은 긴장을 완화하고 자율신경계를 안정시켜 스트레스성 심계항진을 줄입니다.,"호손베리, 코큐텐","규칙적 운동, 스트레스 관리"
231,심장두근거림,운동 후 심장이 과하게 뛰는데 정상인가요?,코큐텐은 심장 근육의 에너지 생성을 돕고 심혈관 건강을 지원합니다.,"호손베리, 마그네슘",규칙적 운동
232,심장두근거림,가슴 답답함과 두근거림이 동시에 오는데 원인이 뭘까요?,마그네슘과 칼륨은 심장 박동을 조절하는 전해질로 결핍 시 부정맥이 나타날 수 있습니다.,"칼륨, 오메가3, 호손베리","규칙적 운동, 카페인 줄이기"
233,심장두근거림,가슴이 두근거리고 불안한데 심장 건강에 좋은 영양제가 있나요?,테아닌은 긴장을 완화하고 자율신경계를 안정시켜 스트레스성 심계항진을 줄입니다.,"칼륨, 테아닌","카페인 줄이기, 규칙적 운동"
234,심장두근거림,긴장하면 심장이 빨리 뛰는데 완화 방법 알려주세요.,코큐텐은 심장 근육의 에너지 생성을 돕고 심혈관 건강을 지원합니다.,"테아닌, 호손베리",스트레스 관리
235,심장두근거림,카페인 섭취 후 심장이 두근거리는데 관리 방법이 있나요?,마그네슘과 칼륨은 심장 박동을 조절하는 전해질로 결핍 시 부정맥이 나타날 수 있습니다.,"오메가3, 호손베리, 코큐텐","깊은 호흡, 충분한 수면"
236,심장두근거림,부정맥 증상이 있는데 전해질 보충이 필요한가요?,테아닌은 긴장을 완화하고 자율신경계를 안정시켜 스트레스성 심계항진을 줄입니다.,"마그네슘, 코큐텐, 테아닌",깊은 호흡
237,심장두근거림,밤에 심장이 두근거려서 잠들기 힘든데 어떻게 해야 하나요?,코큐텐은 심장 근육의 에너지 생성을 돕고 심혈관 건강을 지원합니다.,"코큐텐, 칼륨, 오메가3","깊은 호흡, 스트레스 관리"
238,심장두근거림,운동 후 심장이 과하게 뛰는데 정상인가요?,마그네슘과 칼륨은 심장 박동을 조절하는 전해질로 결핍 시 부정맥이 나타날 수 있습니다.,"오메가3, 칼륨, 마그네슘","규칙적 운동, 깊은 호흡"
239,심장두근거림,가슴 답답함과 두근거림이 동시에 오는데 원인이 뭘까요?,테아닌은 긴장을 완화하고 자율신경계를 안정시켜 스트레스성 심계항진을 줄입니다.,"마그네슘, 코큐텐","깊은 호흡, 충분한 수면"
240,심장두근거림,가슴이 두근거리고 불안한데 심장 건강에 좋은 영양제가 있나요?,코큐텐은 심장 근육의 에너지 생성을 돕고 심혈관 건강을 지원합니다.,"오메가3, 코큐텐",깊은 호흡
241,손발저림,손발이 자주 저리고 차가운데 혈액순환 개선 방법은?,"비타민B1(티아민)과 B12는 말초신경 기능 유지에 필수적이며, 결핍 시 신경병증이 나타날 수 있습니다.","오메가3, 은행잎추출물, 비타민B1",온찜질
242,손발저림,밤에 손발 저림으로 깨는데 신경 건강에 좋은 영양제가 있나요?,알파리포산은 신경 재생을 돕고 당뇨병성 신경병증 증상 완화에 효과적입니다.,"은행잎추출물, 비타민B1, 비타민B12","금연, 스트레칭"
243,손발저림,손가락 끝이 저리고 감각이 둔한데 비타민 부족인가요?,은행잎 추출물은 말초 혈액순환을 개선하여 손발 저림과 냉증 완화에 도움이 됩니다.,"은행잎추출물, 비타민B12",온찜질
244,손발저림,오래 앉아있으면 다리가 저린데 예방 방법 알려주세요.,"비타민B1(티아민)과 B12는 말초신경 기능 유지에 필수적이며, 결핍 시 신경병증이 나타날 수 있습니다.","알파리포산, 오메가3, 마그네슘",바른 자세
245,손발저림,당뇨는 아닌데 손발 저림이 있으면 어떤 검사를 해야 하나요?,알파리포산은 신경 재생을 돕고 당뇨병성 신경병증 증상 완화에 효과적입니다.,"오메가3, 은행잎추출물",금연
246,손발저림,손발 저림과 함께 통증도 있는데 신경 손상인가요?,은행잎 추출물은 말초 혈액순환을 개선하여 손발 저림과 냉증 완화에 도움이 됩니다.,"오메가3, 은행잎추출물","규칙적 운동, 바른 자세"
247,손발저림,혈액순환제 외에 자연스럽게 개선할 수 있는 방법이 있나요?,"비타민B1(티아민)과 B12는 말초신경 기능 유지에 필수적이며, 결핍 시 신경병증이 나타날 수 있습니다.","은행잎추출물, 알파리포산, 비타민B1",금연
248,손발저림,손발이 자주 저리고 차가운데 혈액순환 개선 방법은?,알파리포산은 신경 재생을 돕고 당뇨병성 신경병증 증상 완화에 효과적입니다.,"오메가3, 마그네슘",바른 자세
249,손발저림,밤에 손발 저림으로 깨는데 신경 건강에 좋은 영양제가 있나요?,은행잎 추출물은 말초 혈액순환을 개선하여 손발 저림과 냉증 완화에 도움이 됩니다.,"비타민B12, 은행잎추출물, 마그네슘","금연, 바른 자세"
250,손발저림,손가락 끝이 저리고 감각이 둔한데 비타민 부족인가요?,"비타민B1(티아민)과 B12는 말초신경 기능 유지에 필수적이며, 결핍 시 신경병증이 나타날 수 있습니다.","비타민B12, 알파리포산","바른 자세, 규칙적 운동"
251,손발저림,오래 앉아있으면 다리가 저린데 예방 방법 알려주세요.,알파리포산은 신경 재생을 돕고 당뇨병성 신경병증 증상 완화에 효과적입니다.,"비타민B1, 마그네슘, 은행잎추출물",금연
252,손발저림,당뇨는 아닌데 손발 저림이 있으면 어떤 검사를 해야 하나요?,은행잎 추출물은 말초 혈액순환을 개선하여 손발 저림과 냉증 완화에 도움이 됩니다.,"비타민B12, 알파리포산",규칙적 운동
253,손발저림,손발 저림과 함께 통증도 있는데 신경 손상인가요?,"비타민B1(티아민)과 B12는 말초신경 기능 유지에 필수적이며, 결핍 시 신경병증이 나타날 수 있습니다.","마그네슘, 비타민B1","금연, 규칙적 운동"
254,손발저림,혈액순환제 외에 자연스럽게 개선할 수 있는 방법이 있나요?,알파리포산은 신경 재생을 돕고 당뇨병성 신경병증 증상 완화에 효과적입니다.,"은행잎추출물, 알파리포산, 마그네슘",금연
255,손발저림,손발이 자주 저리고 차가운데 혈액순환 개선 방법은?,은행잎 추출물은 말초 혈액순환을 개선하여 손발 저림과 냉증 완화에 도움이 됩니다.,"비타민B12, 알파리포산",규칙적 운동
256,요통,허리 통증으로 일상생활이 불편한데 디스크 관리 방법은?,MSM과 글루코사민은 척추 디스크와 연골 건강 유지에 도움이 되며 염증성 통증을 완화합니다.,"비타민D, 글루코사민",코어 근력 운동
257,요통,앉았다 일어날 때 허리가 아픈데 근육 강화 방법 알려주세요.,"비타민D와 칼슘은 뼈 건강에 필수적이며, 척추 골밀도 유지와 골다공증 예방에 중요합니다.","커큐민, 비타민D, 마그네슘","무거운 물건 조심, 바른 자세"
258,요통,만성 요통이 있는데 염증 완화에 도움되는 영양제가 있나요?,커큐민은 강력한 항염 작용으로 요통과 관련된 염증을 줄이는 데 효과적입니다.,"커큐민, 비타민D",바른 자세
259,요통,장시간 운전 후 허리가 아픈데 예방 방법이 있을까요?,MSM과 글루코사민은 척추 디스크와 연골 건강 유지에 도움이 되며 염증성 통증을 완화합니다.,"칼슘, 글루코사민, 마그네슘",적정 체중 유지
260,요통,허리 디스크 예방을 위해 미리 먹으면 좋은 영양제는?,"비타민D와 칼슘은 뼈 건강에 필수적이며, 척추 골밀도 유지와 골다공증 예방에 중요합니다.","글루코사민, 비타민D",적정 체중 유지
261,요통,요통과 함께 다리 저림도 있는데 척추 건강 관리 방법은?,커큐민은 강력한 항염 작용으로 요통과 관련된 염증을 줄이는 데 효과적입니다.,"글루코사민, 비타민D, 칼슘",코어 근력 운동
262,요통,허리 근육이 자주 뭉치는데 이완에 도움되는 방법 알려주세요.,MSM과 글루코사민은 척추 디스크와 연골 건강 유지에 도움이 되며 염증성 통증을 완화합니다.,"마그네슘, MSM, 칼슘",적정 체중 유지
263,요통,허리 통증으로 일상생활이 불편한데 디스크 관리 방법은?,"비타민D와 칼슘은 뼈 건강에 필수적이며, 척추 골밀도 유지와 골다공증 예방에 중요합니다.","비타민D, 글루코사민, 마그네슘","허리 스트레칭, 바른 자세"
264,요통,앉았다 일어날 때 허리가 아픈데 근육 강화 방법 알려주세요.,커큐민은 강력한 항염 작용으로 요통과 관련된 염증을 줄이는 데 효과적입니다.,"비타민D, MSM",허리 스트레칭
265,요통,만성 요통이 있는데 염증 완화에 도움되는 영양제가 있나요?,MSM과 글루코사민은 척추 디스크와 연골 건강 유지에 도움이 되며 염증성 통증을 완화합니다.,"마그네슘, 비타민D, MSM","허리 스트레칭, 코어 근력 운동"
266,요통,장시간 운전 후 허리가 아픈데 예방 방법이 있을까요?,"비타민D와 칼슘은 뼈 건강에 필수적이며, 척추 골밀도 유지와 골다공증 예방에 중요합니다.","마그네슘, MSM, 글루코사민",무거운 물건 조심
267,요통,허리 디스크 예방을 위해 미리 먹으면 좋은 영양제는?,커큐민은 강력한 항염 작용으로 요통과 관련된 염증을 줄이는 데 효과적입니다.,"MSM, 글루코사민",적정 체중 유지
268,요통,요통과 함께 다리 저림도 있는데 척추 건강 관리 방법은?,MSM과 글루코사민은 척추 디스크와 연골 건강 유지에 도움이 되며 염증성 통증을 완화합니다.,"비타민D, 커큐민",바른 자세
269,요통,허리 근육이 자주 뭉치는데 이완에 도움되는 방법 알려주세요.,"비타민D와 칼슘은 뼈 건강에 필수적이며, 척추 골밀도 유지와 골다공증 예방에 중요합니다.","커큐민, MSM",적정 체중 유지
270,요통,허리 통증으로 일상생활이 불편한데 디스크 관리 방법은?,커큐민은 강력한 항염 작용으로 요통과 관련된 염증을 줄이는 데 효과적입니다.,"MSM, 마그네슘",코어 근력 운동
271,호흡곤란,조금만 움직여도 숨이 차는데 폐 기능 개선 방법이 있나요?,코큐텐은 세포 에너지 생성을 돕고 심폐 지구력 향상에 도움이 됩니다.,"프로폴리스, NAC",천천히 호흡
272,호흡곤란,가슴이 답답하고 호흡이 불편한데 도움되는 영양소가 있나요?,비타민C와 프로폴리스는 호흡기 면역을 강화하고 염증을 완화합니다.,"마그네슘, 코큐텐, 프로폴리스",규칙적 운동
273,호흡곤란,운동할 때 호흡이 빨리 가빠지는데 지구력 향상 방법은?,테아닌은 불안으로 인한 과호흡을 진정시키고 호흡을 안정시키는 데 도움이 됩니다.,"프로폴리스, 비타민C","스트레스 관리, 금연"
274,호흡곤란,기침 후 숨쉬기 힘든데 호흡기 건강 관리 방법 알려주세요.,코큐텐은 세포 에너지 생성을 돕고 심폐 지구력 향상에 도움이 됩니다.,"프로폴리스, NAC","스트레스 관리, 실내 환기"
275,호흡곤란,천식은 아닌데 가끔 호흡이 불규칙한데 원인이 뭘까요?,비타민C와 프로폴리스는 호흡기 면역을 강화하고 염증을 완화합니다.,"비타민C, 코큐텐, 프로폴리스","실내 환기, 규칙적 운동"
276,호흡곤란,미세먼지 심한 날 호흡이 더 힘든데 폐 보호 방법이 있나요?,테아닌은 불안으로 인한 과호흡을 진정시키고 호흡을 안정시키는 데 도움이 됩니다.,"NAC, 코큐텐, 프로폴리스","실내 환기, 규칙적 운동"
277,호흡곤란,불안할 때 과호흡이 오는데 진정에 도움되는 방법은?,코큐텐은 세포 에너지 생성을 돕고 심폐 지구력 향상에 도움이 됩니다.,"프로폴리스, 비타민C, 코큐텐","실내 환기, 규칙적 운동"
278,호흡곤란,조금만 움직여도 숨이 차는데 폐 기능 개선 방법이 있나요?,비타민C와 프로폴리스는 호흡기 면역을 강화하고 염증을 완화합니다.,"NAC, 마그네슘","스트레스 관리, 천천히 호흡"
279,호흡곤란,가슴이 답답하고 호흡이 불편한데 도움되는 영양소가 있나요?,테아닌은 불안으로 인한 과호흡을 진정시키고 호흡을 안정시키는 데 도움이 됩니다.,"프로폴리스, 비타민C, 코큐텐",규칙적 운동
280,호흡곤란,운동할 때 호흡이 빨리 가빠지는데 지구력 향상 방법은?,코큐텐은 세포 에너지 생성을 돕고 심폐 지구력 향상에 도움이 됩니다.,"NAC, 마그네슘",스트레스 관리
281,호흡곤란,기침 후 숨쉬기 힘든데 호흡기 건강 관리 방법 알려주세요.,비타민C와 프로폴리스는 호흡기 면역을 강화하고 염증을 완화합니다.,"비타민C, 마그네슘",스트레스 관리
282,호흡곤란,천식은 아닌데 가끔 호흡이 불규칙한데 원인이 뭘까요?,테아닌은 불안으로 인한 과호흡을 진정시키고 호흡을 안정시키는 데 도움이 됩니다.,"코큐텐, NAC","스트레스 관리, 천천히 호흡"
283,호흡곤란,미세먼지 심한 날 호흡이 더 힘든데 폐 보호 방법이 있나요?,코큐텐은 세포 에너지 생성을 돕고 심폐 지구력 향상에 도움이 됩니다.,"NAC, 비타민C",실내 환기
284,호흡곤란,불안할 때 과호흡이 오는데 진정에 도움되는 방법은?,비타민C와 프로폴리스는 호흡기 면역을 강화하고 염증을 완화합니다.,"마그네슘, 프로폴리스","천천히 호흡, 규칙적 운동"
285,호흡곤란,조금만 움직여도 숨이 차는데 폐 기능 개선 방법이 있나요?,테아닌은 불안으로 인한 과호흡을 진정시키고 호흡을 안정시키는 데 도움이 됩니다.,"프로폴리스, 코큐텐","금연, 규칙적 운동"
286,혈당불안정,식후 졸음이 심한데 혈당 조절에 도움되는 영양제가 있나요?,크롬은 인슐린 민감도를 높여 혈당 조절을 돕고 당 대사를 개선합니다.,"크롬, 시나몬추출물, 비타민D","식이섬유 섭취, 규칙적 운동"
287,혈당불안정,단 음식이 자꾸 당기는데 혈당 관리 방법 알려주세요.,식이섬유는 당 흡수 속도를 늦춰 혈당 스파이크를 예방하고 포만감을 높입니다.,"시나몬추출물, 크롬","천천히 씹기, 단순당 줄이기"
288,혈당불안정,공복감을 자주 느끼는데 혈당 균형을 맞추려면?,마그네슘은 인슐린 분비와 포도당 대사에 관여하여 혈당 균형 유지에 필수적입니다.,"마그네슘, 알파리포산","단순당 줄이기, 규칙적 식사"
289,혈당불안정,저혈당 증상이 자주 오는데 예방 방법이 있을까요?,크롬은 인슐린 민감도를 높여 혈당 조절을 돕고 당 대사를 개선합니다.,"알파리포산, 비타민D","식이섬유 섭취, 규칙적 운동"
290,혈당불안정,당뇨 전단계인데 혈당 관리를 위한 영양제 추천 부탁드립니다.,식이섬유는 당 흡수 속도를 늦춰 혈당 스파이크를 예방하고 포만감을 높입니다.,"마그네슘, 비타민D",규칙적 식사
291,혈당불안정,식사 후 손 떨림이 있는데 혈당 문제인가요?,마그네슘은 인슐린 분비와 포도당 대사에 관여하여 혈당 균형 유지에 필수적입니다.,"크롬, 식이섬유",규칙적 운동
292,혈당불안정,혈당 스파이크를 막을 수 있는 자연스러운 방법이 있나요?,크롬은 인슐린 민감도를 높여 혈당 조절을 돕고 당 대사를 개선합니다.,"알파리포산, 비타민D",규칙적 식사
293,혈당불안정,식후 졸음이 심한데 혈당 조절에 도움되는 영양제가 있나요?,식이섬유는 당 흡수 속도를 늦춰 혈당 스파이크를 예방하고 포만감을 높입니다.,"알파리포산, 비타민D, 마그네슘","천천히 씹기, 규칙적 운동"
294,혈당불안정,단 음식이 자꾸 당기는데 혈당 관리 방법 알려주세요.,마그네슘은 인슐린 분비와 포도당 대사에 관여하여 혈당 균형 유지에 필수적입니다.,"마그네슘, 시나몬추출물, 식이섬유","규칙적 운동, 식이섬유 섭취"
295,혈당불안정,공복감을 자주 느끼는데 혈당 균형을 맞추려면?,크롬은 인슐린 민감도를 높여 혈당 조절을 돕고 당 대사를 개선합니다.,"비타민D, 크롬, 알파리포산","식이섬유 섭취, 규칙적 운동"
296,혈당불안정,저혈당 증상이 자주 오는데 예방 방법이 있을까요?,식이섬유는 당 흡수 속도를 늦춰 혈당 스파이크를 예방하고 포만감을 높입니다.,"크롬, 마그네슘, 비타민D",천천히 씹기
297,혈당불안정,당뇨 전단계인데 혈당 관리를 위한 영양제 추천 부탁드립니다.,마그네슘은 인슐린 분비와 포도당 대사에 관여하여 혈당 균형 유지에 필수적입니다.,"식이섬유, 마그네슘, 시나몬추출물",규칙적 운동
298,혈당불안정,식사 후 손 떨림이 있는데 혈당 문제인가요?,크롬은 인슐린 민감도를 높여 혈당 조절을 돕고 당 대사를 개선합니다.,"크롬, 알파리포산",규칙적 식사
299,혈당불안정,혈당 스파이크를 막을 수 있는 자연스러운 방법이 있나요?,식이섬유는 당 흡수 속도를 늦춰 혈당 스파이크를 예방하고 포만감을 높입니다.,"알파리포산, 크롬",천천히 씹기
300,혈당불안정,식후 졸음이 심한데 혈당 조절에 도움되는 영양제가 있나요?,마그네슘은 인슐린 분비와 포도당 대사에 관여하여 혈당 균형 유지에 필수적입니다.,"마그네슘, 비타민D","천천히 씹기, 규칙적 운동"
